Date,n,age ,gender ,category,self_eval
05-12-2025 09:35:02,57,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 09:35:04,58,entre 18 et 25 ans,Ne se prononce pas,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:38:52,59,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:39:07,60,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 09:42:18,61,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:49:46,62,entre 18 et 25 ans,Feminin,Agriculteurs/agricultrices exploitant.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
05-12-2025 09:53:19,63,entre 18 et 25 ans,Masculin,Employé.e.s,Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 09:54:27,64,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 09:59:50,65,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 10:02:25,66,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 10:05:02,67,entre 18 et 25 ans,Feminin,Agriculteurs/agricultrices exploitant.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
05-12-2025 10:07:18,68,entre 18 et 25 ans,Masculin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 10:07:28,69,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 10:07:45,70,entre 18 et 25 ans,Masculin,Cadres et professions intellectuelles supérieures,Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
05-12-2025 10:11:30,71,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
05-12-2025 10:12:10,72,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
